freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0000186E+006	3.2486244E+001	-1.3983131E+001
7.9201306E+005	2.6838081E+001	7.4667125E+000
6.2729181E+005	1.5863933E+001	8.6796026E+000
4.9682675E+005	1.1286725E+001	5.1188140E+000
3.9349206E+005	9.1222277E+000	2.9200661E+000
3.1165566E+005	8.9325151E+000	1.6658849E+000
2.4683603E+005	8.4808197E+000	8.2802367E-001
1.9549808E+005	8.3366976E+000	3.4826896E-001
1.5483967E+005	8.0837116E+000	1.7013128E-001
1.2263398E+005	8.1129389E+000	8.1855938E-002
9.7127375E+004	8.1107082E+000	-1.4530447E-001
7.6928070E+004	8.1343374E+000	-9.4615810E-002
6.0922656E+004	8.1886673E+000	-9.2807017E-002
4.8257496E+004	8.1567736E+000	-1.3090651E-001
3.8218152E+004	8.1889248E+000	-1.8152796E-001
3.0266480E+004	8.1891737E+000	-1.4002281E-001
2.3975652E+004	8.2382269E+000	-2.0615537E-001
1.8983816E+004	8.2566624E+000	-2.4111348E-001
1.5040452E+004	8.2643433E+000	-2.4866711E-001
1.1913597E+004	8.2788048E+000	-3.0767146E-001
9.4694131E+003	8.3072414E+000	-3.7234169E-001
7.4693374E+003	8.3124123E+000	-4.1521987E-001
5.9317129E+003	8.3599930E+000	-5.0914103E-001
4.6864995E+003	8.3709106E+000	-5.9598911E-001
3.7111875E+003	8.4208975E+000	-7.4216014E-001
2.9409409E+003	8.4893465E+000	-8.5423356E-001
2.3277656E+003	8.5306740E+000	-1.0413810E+000
1.8432308E+003	8.5785971E+000	-1.2537987E+000
1.4604670E+003	8.6849699E+000	-1.5143508E+000
1.1568507E+003	8.7409210E+000	-1.7822833E+000
9.1646613E+002	8.8295031E+000	-2.1660585E+000
7.2616199E+002	8.9110613E+000	-2.5870335E+000
5.7444849E+002	9.0338669E+000	-3.1854572E+000
4.5514566E+002	9.1434059E+000	-3.8413134E+000
3.6057690E+002	9.2707005E+000	-4.7399936E+000
2.8545676E+002	9.4460611E+000	-5.8241320E+000
2.2623071E+002	9.5677509E+000	-7.1889052E+000
1.7914014E+002	9.7909527E+000	-8.8620949E+000
1.4186119E+002	1.0034486E+001	-1.0979836E+001
1.1233657E+002	1.0325254E+001	-1.3584455E+001
8.9003166E+001	1.0639327E+001	-1.6852568E+001
7.0473572E+001	1.1144167E+001	-2.0977184E+001
5.5803570E+001	1.1664074E+001	-2.5992723E+001
4.4221699E+001	1.2446260E+001	-3.2275669E+001
3.5011204E+001	1.3342712E+001	-4.0188210E+001
2.7703901E+001	1.4519270E+001	-4.9798462E+001
2.1976093E+001	1.5929296E+001	-6.1820961E+001
1.7386868E+001	1.7887388E+001	-7.6804092E+001
1.3786764E+001	2.0087418E+001	-9.5397850E+001
1.0911310E+001	2.3190866E+001	-1.1828622E+002
8.6421471E+000	2.7291735E+001	-1.4652287E+002
6.8410683E+000	3.1958744E+001	-1.8204880E+002
5.4253473E+000	3.8802612E+001	-2.2562604E+002
4.2925820E+000	4.6758579E+001	-2.7947705E+002
3.4041395E+000	5.7614601E+001	-3.4552527E+002
2.6958246E+000	7.1786011E+001	-4.2747891E+002
2.1322324E+000	8.9980980E+001	-5.2872626E+002
1.6910175E+000	1.1367016E+002	-6.5259625E+002
1.3384447E+000	1.4408432E+002	-8.0568921E+002
1.0588914E+000	1.8586688E+002	-9.9431274E+002
8.3951187E-001	2.3781227E+002	-1.2233193E+003
6.6517669E-001	3.0760245E+002	-1.5031365E+003
5.2644879E-001	4.0177649E+002	-1.8438696E+003
4.1680005E-001	5.2522565E+002	-2.2610212E+003
3.3058986E-001	6.9084363E+002	-2.7619839E+003
2.6137504E-001	9.1511139E+002	-3.3700010E+003
2.0703043E-001	1.2152325E+003	-4.0929526E+003
1.6422132E-001	1.6154742E+003	-4.9416924E+003
1.3006528E-001	2.1588662E+003	-5.9390508E+003
1.0285021E-001	2.8913508E+003	-7.0934141E+003
8.1555218E-002	3.8535974E+003	-8.3735977E+003
6.4658560E-002	5.1098916E+003	-9.7614697E+003
5.1140975E-002	6.7353823E+003	-1.1216761E+004
4.0509921E-002	8.7562988E+003	-1.2621632E+004
3.2105546E-002	1.1175963E+004	-1.3868053E+004
2.5420560E-002	1.3967882E+004	-1.4836983E+004
2.0148762E-002	1.7038838E+004	-1.5443783E+004
1.5956154E-002	2.0233395E+004	-1.5547754E+004
1.2632408E-002	2.3293598E+004	-1.5080377E+004
1.0003781E-002	2.5996242E+004	-1.4150129E+004
