Ewe/V	<I>/mA	
-9.3051761E-001	-1.086520496606828E-001
-9.3024069E-001	-7.462254140379073E-002
-9.2978477E-001	-6.296229848938872E-002
-9.2924035E-001	-5.847311939137167E-002
-9.2873883E-001	-5.566856344982729E-002
-9.2821133E-001	-5.364345161909023E-002
-9.2778140E-001	-5.195784663788872E-002
-9.2717016E-001	-5.052973369973348E-002
-9.2673093E-001	-4.925405707566233E-002
-9.2621750E-001	-4.805989987217363E-002
-9.2576385E-001	-4.701372482758093E-002
-9.2523855E-001	-4.603099482970169E-002
-9.2476821E-001	-4.511871157508424E-002
-9.2419273E-001	-4.423883792660288E-002
-9.2374146E-001	-4.343421688088989E-002
-9.2321861E-001	-4.267092114421994E-002
-9.2271239E-001	-4.193094504286399E-002
-9.2226350E-001	-4.122694057362186E-002
-9.2171431E-001	-4.054173189995169E-002
-9.2128694E-001	-3.987680601353027E-002
-9.2069954E-001	-3.922928226854616E-002
-9.2021012E-001	-3.861916873591254E-002
-9.1973966E-001	-3.804400924445066E-002
-9.1920727E-001	-3.747072548396835E-002
-9.1867238E-001	-3.693057702529090E-002
-9.1824508E-001	-3.638924619364034E-002
-9.1772693E-001	-3.584113978070158E-002
-9.1723728E-001	-3.533150718311212E-002
-9.1665244E-001	-3.482996222688200E-002
-9.1619402E-001	-3.434958039858271E-002
-9.1571164E-001	-3.388526015109939E-002
-9.1525567E-001	-3.343820622430543E-002
-9.1471118E-001	-3.297671152699910E-002
-9.1421229E-001	-3.252184628188803E-002
-9.1370839E-001	-3.208871099748051E-002
-9.1316885E-001	-3.166639291307571E-002
-9.1275811E-001	-3.126500798375187E-002
-9.1226864E-001	-3.086360339737308E-002
-9.1166461E-001	-3.047582024991990E-002
-9.1122282E-001	-3.009108565994012E-002
-9.1069520E-001	-2.969934115108253E-002
-9.1018188E-001	-2.932050511468687E-002
-9.0968752E-001	-2.895448401203071E-002
-9.0923637E-001	-2.861399020288015E-002
-9.0869910E-001	-2.827395803274957E-002
-9.0822154E-001	-2.791334804682322E-002
-9.0770578E-001	-2.756749910914902E-002
-9.0722108E-001	-2.723313657915424E-002
-9.0676028E-001	-2.691889055385810E-002
-9.0624452E-001	-2.660622143164959E-002
-9.0571928E-001	-2.629443402936732E-002
-9.0520829E-001	-2.597295537470348E-002
-9.0469247E-001	-2.565447413028904E-002
-9.0420300E-001	-2.536323308036063E-002
-9.0371841E-001	-2.507732853015812E-002
-9.0324074E-001	-2.480138662603430E-002
-9.0262717E-001	-2.452065589020972E-002
-9.0226668E-001	-2.423232545825238E-002
-9.0172231E-001	-2.394171185600252E-002
-9.0119445E-001	-2.368396115372154E-002
-9.0074575E-001	-2.342760726696401E-002
-9.0022516E-001	-2.317170501328275E-002
-8.9970225E-001	-2.290892410102349E-002
-8.9922470E-001	-2.264771168165885E-002
-8.9862549E-001	-2.238569643263316E-002
-8.9820760E-001	-2.215478316461139E-002
-8.9770859E-001	-2.192630631177164E-002
-8.9724296E-001	-2.168286413880241E-002
-8.9673197E-001	-2.143681755326798E-002
-8.9621389E-001	-2.119991862613302E-002
-8.9568615E-001	-2.097898006355514E-002
-8.9522779E-001	-2.075671598180626E-002
-8.9470720E-001	-2.054786257397512E-002
-8.9423919E-001	-2.032068755453376E-002
-8.9368290E-001	-2.009918475282046E-002
-8.9325082E-001	-1.987551314793279E-002
-8.9267999E-001	-1.968272077730626E-002
-8.9221925E-001	-1.947609898673112E-002
-8.9172500E-001	-1.928648573122821E-002
-8.9122117E-001	-1.908807991901543E-002
-8.9068639E-001	-1.888102171920553E-002
-8.9019692E-001	-1.867317239232308E-002
-8.8970506E-001	-1.848141656341672E-002
-8.8921076E-001	-1.829620325146414E-002
-8.8870221E-001	-1.811677261809516E-002
-8.8821512E-001	-1.794891928244241E-002
-8.8770646E-001	-1.776269261980276E-002
-8.8723141E-001	-1.755963226823865E-002
-8.8667983E-001	-1.738150370295932E-002
-8.8620943E-001	-1.720276647594145E-002
-8.8568896E-001	-1.704281388588124E-002
-8.8524240E-001	-1.687915574495913E-002
-8.8469803E-001	-1.671882729090037E-002
-8.8420141E-001	-1.653694292885521E-002
-8.8367367E-001	-1.635952845943371E-002
-8.8315320E-001	-1.618942283423849E-002
-8.8273543E-001	-1.604698765974320E-002
-8.8217908E-001	-1.589214320480325E-002
-8.8172299E-001	-1.574309056172990E-002
-8.8121682E-001	-1.557103022067435E-002
-8.8072252E-001	-1.540557956403070E-002
-8.8019729E-001	-1.524962949590858E-002
-8.7970304E-001	-1.510869693157160E-002
-8.7917292E-001	-1.496778036944413E-002
-8.7867624E-001	-1.483274338084326E-002
-8.7822026E-001	-1.468354562066808E-002
-8.7774271E-001	-1.452503889158824E-002
-8.7717682E-001	-1.437559502832525E-002
-8.7669450E-001	-1.424013255195879E-002
-8.7618828E-001	-1.411077698186378E-002
-8.7567502E-001	-1.398376599405371E-002
-8.7516409E-001	-1.383961311176260E-002
-8.7471032E-001	-1.369035126476792E-002
-8.7421131E-001	-1.355486533369604E-002
-8.7364072E-001	-1.343931232629103E-002
-8.7316787E-001	-1.331630236745007E-002
-8.7266648E-001	-1.318974358692304E-002
-8.7217700E-001	-1.304954288053032E-002
-8.7170905E-001	-1.291506480943000E-002
-8.7118381E-001	-1.278101578366391E-002
-8.7069672E-001	-1.267916238259374E-002
