freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1.0003781E-002	1.1988596E+004	-2.4100327E+003
1.2632408E-002	1.1709507E+004	-2.4531550E+003
1.5956154E-002	1.1446586E+004	-2.5130691E+003
2.0148762E-002	1.1211613E+004	-2.6472073E+003
2.5420560E-002	1.0982383E+004	-2.8661885E+003
3.2105546E-002	1.0719477E+004	-3.2038645E+003
4.0509921E-002	1.0323400E+004	-3.6463542E+003
5.1140975E-002	9.7735283E+003	-4.1718701E+003
6.4658560E-002	9.0111855E+003	-4.6970894E+003
8.1555218E-002	8.0540410E+003	-5.1320820E+003
1.0285021E-001	6.9313447E+003	-5.3806055E+003
1.3006528E-001	5.7456997E+003	-5.4080127E+003
1.6422132E-001	4.6078052E+003	-5.1967373E+003
2.0703043E-001	3.6033816E+003	-4.8103130E+003
2.6137504E-001	2.7609824E+003	-4.3119951E+003
3.3058986E-001	2.0835520E+003	-3.7691370E+003
4.1680005E-001	1.5709786E+003	-3.2397937E+003
5.2644879E-001	1.1768712E+003	-2.7446318E+003
6.6517669E-001	8.8369440E+002	-2.2987361E+003
8.3951187E-001	6.6787152E+002	-1.9122877E+003
1.0588914E+000	5.0891098E+002	-1.5815370E+003
1.6910175E+000	3.0328433E+002	-1.0658394E+003
2.6958246E+000	1.9162444E+002	-7.0926373E+002
4.2925820E+000	1.3028427E+002	-4.7143942E+002
6.8410683E+000	9.5677612E+001	-3.1330780E+002
1.0911310E+001	7.4024460E+001	-2.1001985E+002
1.7386868E+001	5.8968399E+001	-1.4360548E+002
2.7703901E+001	4.7178936E+001	-1.0051669E+002
4.4221699E+001	3.6649632E+001	-7.1844635E+001
7.0473572E+001	2.7634083E+001	-5.1895500E+001
1.1233657E+002	2.0445274E+001	-3.6992832E+001
1.7914014E+002	1.5447105E+001	-2.5911337E+001
2.8545676E+002	1.2247382E+001	-1.7779270E+001
4.5514566E+002	1.0370910E+001	-1.2089274E+001
7.2616199E+002	9.2374315E+000	-8.1623344E+000
1.1568507E+003	8.4995975E+000	-5.5199866E+000
1.8432308E+003	8.0405283E+000	-3.7893610E+000
2.9409409E+003	7.6912394E+000	-2.6277654E+000
4.6864995E+003	7.4235311E+000	-1.8507227E+000
7.4706157E+003	7.2145543E+000	-1.3194239E+000
1.1913597E+004	7.0597229E+000	-9.3752629E-001
1.8983816E+004	6.9403257E+000	-6.6774625E-001
3.0266480E+004	6.8481283E+000	-4.8472220E-001
4.8257496E+004	6.7831659E+000	-3.4153458E-001
