Ewe/V	I/mA	
-6.3090003E-001	-5.5589750E-003
-6.3080454E-001	-1.6058302E-003
-6.3076633E-001	-1.5871240E-003
-6.3061357E-001	-1.4388115E-003
-6.3038445E-001	-1.3900738E-003
-6.3030809E-001	-1.4509641E-003
-6.3000256E-001	-1.2457698E-003
-6.2990707E-001	-1.4046442E-003
-6.2973523E-001	-1.3509437E-003
-6.2956339E-001	-1.1525577E-003
-6.2933427E-001	-1.2689298E-003
-6.2910515E-001	-1.3457265E-003
-6.2914330E-001	-1.2299906E-003
-6.2887597E-001	-1.2736380E-003
-6.2866598E-001	-1.2875721E-003
-6.2866598E-001	-1.2360987E-003
-6.2832224E-001	-1.1966506E-003
-6.2813133E-001	-1.2941257E-003
-6.2811220E-001	-1.3314742E-003
-6.2782580E-001	-1.1341060E-003
-6.2773031E-001	-1.0625266E-003
-6.2738663E-001	-1.3475080E-003
-6.2742484E-001	-1.1743812E-003
-6.2717658E-001	-1.0990479E-003
-6.2702382E-001	-1.0870226E-003
-6.2700474E-001	-1.1227169E-003
-6.2660378E-001	-1.0872135E-003
-6.2643194E-001	-8.2392851E-004
-6.2635553E-001	-1.0302680E-003
-6.2614548E-001	-9.7103213E-004
-6.2601185E-001	-6.1109918E-004
-6.2591636E-001	-9.3190203E-004
-6.2562996E-001	-9.5270784E-004
-6.2553447E-001	-5.6395226E-004
-6.2538171E-001	-9.7523152E-004
-6.2522894E-001	-9.3565602E-004
-6.2507623E-001	-7.9402426E-004
-6.2484705E-001	-1.0219332E-003
-6.2467521E-001	-8.0337736E-004
-6.2446517E-001	-1.1910513E-003
-6.2440789E-001	-7.9039764E-004
-6.2421697E-001	-8.1444829E-004
-6.2402600E-001	-1.5070188E-003
-6.2396872E-001	-7.8715268E-004
-6.2366325E-001	-7.6876470E-004
-6.2347227E-001	-1.4851313E-003
-6.2324315E-001	-7.5425796E-004
-6.2314767E-001	-7.4554118E-004
-6.2295675E-001	-9.8242133E-004
-6.2299490E-001	-7.6221122E-004
-6.2270850E-001	-7.8238070E-004
-6.2232661E-001	-2.5542907E-004
-6.2228841E-001	-7.1360089E-004
-6.2228841E-001	-7.1016507E-004
-6.2192565E-001	6.3253730E-004
-6.2200201E-001	-7.4515946E-004
-6.2169647E-001	-7.3122530E-004
-6.2150556E-001	1.2315774E-003
-6.2135279E-001	-6.3215941E-004
-6.2123823E-001	-6.1682553E-004
-6.2106639E-001	7.0112624E-004
-6.2093270E-001	-7.0672925E-004
-6.2076086E-001	-5.4314645E-004
-6.2056994E-001	-6.1905244E-004
-6.2039810E-001	-5.9500179E-004
-6.2026441E-001	-5.2024110E-004
-6.1992073E-001	-4.2626524E-004
-6.1993980E-001	-5.8144942E-004
-6.1965340E-001	-5.0019880E-004
-6.1965340E-001	-5.5440830E-004
-6.1938608E-001	-5.3322082E-004
-6.1915696E-001	-3.9833336E-004
-6.1917603E-001	-4.8359236E-004
-6.1875594E-001	-4.4764363E-004
-6.1875594E-001	-3.8058171E-004
-6.1862230E-001	-4.5814193E-004
-6.1833590E-001	-4.0240545E-004
-6.1825949E-001	-3.8783508E-004
-6.1810672E-001	-4.4255352E-004
-6.1793488E-001	-4.2098426E-004
-6.1768669E-001	-5.2953046E-004
-6.1751479E-001	-4.6628606E-004
-6.1743844E-001	-3.8630803E-004
-6.1719018E-001	-3.1472865E-004
-6.1711383E-001	-3.6302087E-004
-6.1686563E-001	-3.7014700E-004
-6.1665559E-001	-3.9368865E-004
-6.1659831E-001	-2.9449555E-004
-6.1621642E-001	-3.4539640E-004
-6.1619729E-001	-3.4138799E-004
-6.1612093E-001	-2.4715770E-004
-6.1592996E-001	-2.6274609E-004
-6.1571991E-001	-2.1470836E-004
-6.1562449E-001	-2.8151582E-004
-6.1533803E-001	-2.6109180E-004
-6.1510891E-001	-2.3621398E-004
-6.1520439E-001	-2.8425176E-004
-6.1478430E-001	-1.6056251E-004
-6.1470795E-001	-1.7926859E-004
-6.1459339E-001	-1.5890824E-004
-6.1436427E-001	-9.4900352E-005
-6.1417329E-001	-2.1044540E-004
-6.1405873E-001	-1.0215373E-004
-6.1384869E-001	-1.8715825E-004
-6.1365777E-001	-1.7812333E-004
-6.1354315E-001	-8.1729748E-005
-6.1337131E-001	-1.6310757E-004
-6.1325675E-001	-2.5929625E-005
-6.1316127E-001	-4.8198770E-005
-6.1300856E-001	-1.0425339E-004
-6.1279851E-001	-5.6965164E-006
-6.1258847E-001	-4.0945397E-005
-6.1232114E-001	-3.3437511E-005
-6.1226386E-001	-3.8273098E-005
-6.1211109E-001	1.1751060E-006
-6.1192018E-001	-3.5600799E-005
-6.1174828E-001	6.9191454E-005
-6.1153829E-001	-3.1719606E-005
-6.1144280E-001	-4.0422365E-006
-6.1123276E-001	8.6829905E-006
-6.1109906E-001	8.7070395E-005
-6.1085087E-001	7.5935815E-005
-6.1079359E-001	8.2425679E-005
-6.1058354E-001	1.2091950E-004
-6.1037350E-001	1.9078099E-004
-6.1025894E-001	1.1831082E-004
-6.1014438E-001	1.0297693E-004
-6.0989612E-001	1.4770610E-004
-6.0970521E-001	7.8926249E-005
-6.0953337E-001	5.3412168E-005
-6.0939968E-001	1.1035756E-004
-6.0930419E-001	2.1362278E-004
-6.0911328E-001	1.6908448E-004
-6.0882688E-001	2.9729115E-004
-6.0875046E-001	2.1254113E-004
-6.0855955E-001	1.1926521E-004
-6.0825402E-001	2.9856365E-004
-6.0815853E-001	2.1056873E-004
-6.0813946E-001	2.4136377E-004
-6.0796762E-001	1.8480016E-004
-6.0775757E-001	2.7101356E-004
-6.0770029E-001	2.8927426E-004
-6.0731840E-001	3.8178667E-004
-6.0720384E-001	3.8509522E-004
-6.0710835E-001	3.0581706E-004
-6.0682195E-001	3.2967687E-004
-6.0665011E-001	4.0405581E-004
-6.0659283E-001	3.6842519E-004
-6.0628730E-001	4.1951696E-004
-6.0613453E-001	4.6144662E-004
-6.0611546E-001	4.2136211E-004
-6.0582900E-001	5.3557107E-004
-6.0561901E-001	4.9847696E-004
-6.0550445E-001	4.8008905E-004
-6.0531348E-001	4.9434125E-004
-6.0519892E-001	5.5459526E-004
-6.0512251E-001	4.6590040E-004
-6.0477883E-001	5.5548601E-004
-6.0460699E-001	5.9086212E-004
-6.0456878E-001	5.6375738E-004
-6.0428238E-001	5.2628160E-004
-6.0422510E-001	6.0123322E-004
-6.0403413E-001	6.3202833E-004
-6.0382414E-001	6.2426587E-004
-6.0369045E-001	5.6585710E-004
-6.0359496E-001	6.5779686E-004
-6.0328948E-001	6.0715043E-004
-6.0317492E-001	6.6422310E-004
-6.0317492E-001	7.0335320E-004
-6.0294574E-001	6.8821013E-004
-6.0262114E-001	7.1881432E-004
-6.0254478E-001	5.9397984E-004
-6.0241115E-001	7.3732954E-004
-6.0212469E-001	6.9438189E-004
-6.0191464E-001	6.6517753E-004
-6.0178101E-001	6.2954688E-004
-6.0172373E-001	8.1705308E-004
-6.0157096E-001	8.0375519E-004
-6.0134184E-001	8.7603449E-004
-6.0115087E-001	7.6965155E-004
-6.0109359E-001	8.0305536E-004
-6.0097903E-001	8.5866457E-004
-6.0063535E-001	9.0962910E-004
-6.0063535E-001	8.7934308E-004
-6.0040623E-001	9.4220572E-004
-6.0013890E-001	9.0702047E-004
-6.0000521E-001	9.4112399E-004
-5.9992886E-001	8.8710542E-004
-5.9962332E-001	9.6511113E-004
-5.9952790E-001	9.7096473E-004
-5.9943241E-001	1.0122581E-003
-5.9908873E-001	1.0626500E-003
-5.9903139E-001	9.6682901E-004
-5.9891683E-001	1.0723848E-003
-5.9874499E-001	1.1540171E-003
-5.9866863E-001	1.1188319E-003
-5.9840131E-001	1.1061066E-003
-5.9813398E-001	1.0618228E-003
-5.9813398E-001	1.1304118E-003
-5.9788573E-001	1.1855756E-003
-5.9765661E-001	1.2436026E-003
-5.9759933E-001	1.2901133E-003
-5.9733200E-001	1.1634338E-003
-5.9710288E-001	1.2418848E-003
-5.9710288E-001	1.3113009E-003
-5.9677827E-001	1.2579822E-003
-5.9672099E-001	1.2460204E-003
-5.9649187E-001	1.2596366E-003
-5.9637731E-001	1.3401235E-003
-5.9609085E-001	1.3526580E-003
-5.9597629E-001	1.3030930E-003
-5.9599543E-001	1.2819057E-003
-5.9570897E-001	1.3783629E-003
-5.9551805E-001	1.4175567E-003
-5.9526980E-001	1.4382987E-003
-5.9511703E-001	1.4057857E-003
-5.9513617E-001	1.4382987E-003
-5.9492612E-001	1.4433252E-003
-5.9462059E-001	1.5212671E-003
-5.9454423E-001	1.4459975E-003
-5.9421962E-001	1.4837914E-003
-5.9420055E-001	1.5382553E-003
-5.9402865E-001	1.5957735E-003
-5.9387594E-001	1.4836006E-003
-5.9353220E-001	1.5851478E-003
-5.9351313E-001	1.5150318E-003
-5.9337944E-001	1.5675235E-003
-5.9311217E-001	1.6294952E-003
-5.9309304E-001	1.6466742E-003
-5.9295940E-001	1.6212874E-003
-5.9276843E-001	1.6483286E-003
-5.9253931E-001	1.7463765E-003
-5.9232926E-001	1.7165357E-003
-5.9219563E-001	1.7377870E-003
-5.9215742E-001	1.7405228E-003
-5.9192830E-001	1.7640009E-003
-5.9168005E-001	1.8226006E-003
-5.9150821E-001	1.7628556E-003
-5.9131730E-001	1.7288793E-003
-5.9106904E-001	1.7766624E-003
-5.9104997E-001	1.8717835E-003
-5.9083992E-001	1.9148584E-003
