Ewe/V	<I>/mA	
-8.2815737E-001	-5.077370517411184E-002
-8.2762510E-001	-4.103409767441868E-002
-8.2716203E-001	-3.792719468112010E-002
-8.2665128E-001	-3.607489215811127E-002
-8.2615721E-001	-3.472936163765009E-002
-8.2565117E-001	-3.366591054972813E-002
-8.2510948E-001	-3.277863627317556E-002
-8.2464880E-001	-3.199858597979244E-002
-8.2412845E-001	-3.130136416815976E-002
-8.2356280E-001	-3.067282520562320E-002
-8.2313317E-001	-3.009319150634027E-002
-8.2255077E-001	-2.955189587709683E-002
-8.2207340E-001	-2.904485455992667E-002
-8.2164389E-001	-2.856349962416865E-002
-8.2112342E-001	-2.810709568590862E-002
-8.2060784E-001	-2.767460378664299E-002
-8.2015210E-001	-2.725836482526217E-002
-8.1960547E-001	-2.686345631703652E-002
-8.1907564E-001	-2.647748440105249E-002
-8.1864113E-001	-2.611150131170720E-002
-8.1814241E-001	-2.574913386842300E-002
-8.1767219E-001	-2.539788074260452E-002
-8.1709456E-001	-2.506268919842825E-002
-8.1665778E-001	-2.473464003519643E-002
-8.1617320E-001	-2.441832872555855E-002
-8.1561470E-001	-2.411226870045463E-002
-8.1512541E-001	-2.380718541293036E-002
-8.1460267E-001	-2.350894420293970E-002
-8.1414443E-001	-2.322019675810141E-002
-8.1364322E-001	-2.293824913488618E-002
-8.1315398E-001	-2.265681184353236E-002
-8.1261694E-001	-2.238837930036608E-002
-8.1214911E-001	-2.212594780013885E-002
-8.1160969E-001	-2.186178031649680E-002
-8.1112522E-001	-2.160655930498934E-002
-8.1058806E-001	-2.136003999575459E-002
-8.1012982E-001	-2.111618551448827E-002
-8.0959517E-001	-2.087661024791160E-002
-8.0912739E-001	-2.064457591480834E-002
-8.0863088E-001	-2.041091081194063E-002
-8.0811304E-001	-2.017993313119430E-002
-8.0763572E-001	-1.995841177570057E-002
-8.0711055E-001	-1.973875028997676E-002
-8.0664510E-001	-1.952472571128183E-002
-8.0613202E-001	-1.931432634319420E-002
-8.0563068E-001	-1.910409529868556E-002
-8.0508649E-001	-1.889287751075025E-002
-8.0468804E-001	-1.868954115245933E-002
-8.0411035E-001	-1.849162525837078E-002
-8.0368072E-001	-1.829878809111300E-002
-8.0316287E-001	-1.810293856408565E-002
-8.0257320E-001	-1.791213659769160E-002
-8.0210304E-001	-1.772100250043620E-002
-8.0160898E-001	-1.753458643515615E-002
-8.0108392E-001	-1.735502742550132E-002
-8.0057782E-001	-1.716975752423749E-002
-8.0010766E-001	-1.698456595410841E-002
-7.9956114E-001	-1.681074670155090E-002
-7.9907423E-001	-1.663814518709259E-002
-7.9853475E-001	-1.646535962220941E-002
-7.9808122E-001	-1.629848400701756E-002
-7.9760152E-001	-1.613213792626755E-002
-7.9710507E-001	-1.597071058354664E-002
-7.9657996E-001	-1.580996402095225E-002
